gene_name,logFC,logCPM,F,PValue,FDR
S100A8,-9.348558123687411,10.326442813534873,22.06560724405816,2.6392040913518573e-6,3.423352230032361e-4
FBN3,-11.530590867660923,2.8324121174365167,22.002718198032046,2.7270839737097906e-6,3.514811732994752e-4
RSAD2,-7.936095238279079,4.890885036396004,21.941005072319562,2.816174419011971e-6,3.606663884095394e-4
PIK3AP1,-8.123812926228068,4.239287484102231,21.926313080642355,2.8378109560226184e-6,3.6115160185608606e-4
CTSE,9.128003774075351,8.791247816411879,21.90476590387502,2.8698449985566053e-6,3.6294570966120566e-4
FCGR3A,-8.637760382190754,6.469731558000226,21.870566772032852,2.9214352120326132e-6,3.671754131396269e-4
SNX20,-8.3344891570294,4.000326474658286,21.806486763310495,3.020620034168513e-6,3.7729781723086335e-4
BIN2,-7.885098692588114,4.823077609595482,21.780682799985787,3.0615080320836176e-6,3.8005898790927604e-4
ENSG00000279336,-11.497168757386891,2.7990810151362946,21.715804328046115,3.1667825052641615e-6,3.8954011700615624e-4
ARHGAP9,-8.054932616643308,5.446426892629448,21.701597210905607,3.1903160914345023e-6,3.8954011700615624e-4
RN7SL2,-10.38367779307638,15.245558199840927,21.698401220248584,3.1956342684962658e-6,3.8954011700615624e-4
TTLL8,-11.49011355223018,2.792211911570415,21.656963622900573,3.2653978170495333e-6,3.9566062771255873e-4
C5AR1,-8.492282694120926,6.304975856787696,21.639217464774145,3.2957403729089265e-6,3.969601574155484e-4
CXCL1,-7.854139458213758,4.961793959311671,21.607016495607873,3.351522176358663e-6,4.012902440154884e-4
FRMD1,-11.481926108772342,2.7840671918919897,21.587584119099517,3.385642273286621e-6,4.0299100823502806e-4
MIR4420,-9.534371262197379,3.3521669883286425,21.473320612596016,3.5934397299952063e-6,4.2522370138276607e-4
CSF2RA,-7.963174524927416,4.2350732624940255,21.378697042009442,3.775175940213294e-6,4.4413189040823256e-4
ANXA10,8.784349585040271,7.927974182374945,21.16945072671371,4.210489887900148e-6,4.924812883332918e-4
SLED1,-7.762798648274042,5.157360077760913,21.11089821998236,4.341085660613544e-6,5.048383238075578e-4
TSTD1,8.112843652474524,5.826161036827281,21.064631113421985,4.447149265766656e-6,5.142175165302187e-4
HAL,-8.43277468535244,3.7692661985761085,21.036643769076424,4.512566427678403e-6,5.143991125665345e-4
RIPOR2,-8.516084954010203,6.868234891282365,21.031525416064714,4.5246340248462406e-6,5.143991125665345e-4
RNU6-785P,-8.496857144680847,3.7325404532746593,21.031377374665862,4.524983545186218e-6,5.143991125665345e-4
TLR6,-8.485249790114059,3.7342749340127264,21.009367312747532,4.577251145633883e-6,5.174339493402326e-4
PSCA,9.306374981280078,12.242630528579477,20.89155497487872,4.867499338992527e-6,5.471880506917433e-4
GBX1,-11.39084735367044,2.693759472791199,20.83324789260004,5.017910373482546e-6,5.596263145590219e-4
MIR663B,-11.39008782343206,2.6930408051683448,20.827321784877334,5.033456350370249e-6,5.596263145590219e-4
CH507-528H12.6,-8.198546719517786,3.870015307708881,20.810260893275178,5.0784826746721835e-6,5.615469777158012e-4
EIF6,8.326653188629495,6.521200949595295,20.740238807243774,5.26755590949081e-6,5.79288009937753e-4
S100A12,-7.646481715811898,4.4620037292550805,20.722454796872018,5.316691061104739e-6,5.815310466024561e-4
GATA1,-11.364960249717964,2.6626384556966864,20.58589203566965,5.709652698991335e-6,6.211549589467186e-4
TBXAS1,-7.64350119092005,5.260404083524206,20.551428446669867,5.8133474021602185e-6,6.276087984017645e-4
CSF2RB,-8.094008897729069,6.167471750408708,20.545620270380546,5.83100835678437e-6,6.276087984017645e-4
JAML,-8.126037346560972,6.296945191505999,20.452318155942883,6.1222085538111895e-6,6.544882881838718e-4
NLRP12,-9.195844776613372,3.31650321172097,20.435194216246416,6.177217583706438e-6,6.544882881838718e-4
MYT1L,-11.34089342079861,2.644401574797261,20.43286910585118,6.1847249377621335e-6,6.544882881838718e-4
ANPEP,-7.509836002413644,4.638299165699182,20.425025330864013,6.210118672167204e-6,6.544882881838718e-4
POLR2J3,8.29975982311385,6.553452353951172,20.40523766344928,6.274646036485709e-6,6.578625002501985e-4
FYB1,-8.25063055339542,6.687203168131828,20.368354175836437,6.396724559985013e-6,6.672047498520451e-4
GYPB,-11.33601143129492,2.6342877288138236,20.35778307413894,6.432150815990703e-6,6.674593423670354e-4
SULT1B1,-9.470852573369172,3.1795117775401374,20.207347738821,6.958173559527018e-6,7.182529722617413e-4
S100A2,8.52388759216045,8.42743008102921,20.197896357465126,6.99262839315854e-6,7.182529722617413e-4
MTND5P32,-11.305533683091177,2.609247058925948,20.15327664959487,7.157615951459612e-6,7.31486660493865e-4
H2BC18,-8.07813473235705,6.411182473917544,20.142580410644857,7.197744041987297e-6,7.318912094955425e-4
CSF3R,-8.477215554725694,8.274445866599185,20.116223424768837,7.2975916955116505e-6,7.383338397933913e-4
CHI3L1,-9.065288234654755,3.3142848665123132,20.103594929525784,7.345923523601874e-6,7.395261815924573e-4
SLC2A3,-7.61046692171255,5.491658501854896,20.08090368294338,7.433576448860379e-6,7.446456408053949e-4
TNFAIP6,-7.396881969227366,4.942698379731711,19.994713595209248,7.776192751524189e-6,7.714061719245387e-4
MSMB,8.259829509173008,6.947063144733666,19.98896253415906,7.799610246595905e-6,7.714061719245387e-4
WDFY4,-8.86604211171037,3.3690812436489854,19.985171376341057,7.81508600170647e-6,7.714061719245387e-4
TREML2,-11.266050590138189,2.5700316293152814,19.846646661120605,8.402204708162427e-6,8.253330692702267e-4
CD300A,-7.365809231577547,5.039321538293769,19.81684789024225,8.534181060692479e-6,8.342471196285619e-4
APBB1IP,-7.537250559463923,5.52011177286119,19.781677606293027,8.692627929736996e-6,8.456506065299428e-4
LST1,-7.462158703713092,5.394896402200895,19.719546454466965,8.979789618382215e-6,8.655243568190958e-4
S100A14,8.290654625675373,7.756893035177098,19.712590067780535,9.01252829834889e-6,8.655243568190958e-4
CDH4,-8.8281620936237,3.3394821579250253,19.709896857248392,9.025235447928302e-6,8.655243568190958e-4
KRT7,8.571004136429332,10.690279142861359,19.584744833702135,9.636004500913404e-6,9.197384484716166e-4
KCNJ2,-7.354260535209464,4.35515306647909,19.55374658538742,9.793590295795613e-6,9.303910781005832e-4
ITGAL,-7.347208126975665,4.358151660628185,19.534141374460408,9.894590538930689e-6,9.334469319784649e-4
RNU4-2,-11.22234315438434,2.5290728557055746,19.529622607612254,9.918017809506793e-6,9.334469319784649e-4
MTCYBP23,-11.22204793038301,2.5266790259953495,19.513838515334193,1.0000287385380458e-5,9.357954157188437e-4
SLC11A1,-7.60881632845782,5.8193088274162985,19.507129430419795,1.0035463563676258e-5,9.357954157188437e-4
SCARNA5,-7.2288236081575405,4.639661413978726,19.427100752081614,1.0464764124085738e-5,9.713509268388757e-4
RN7SL1,-9.503755229876736,15.343856802302602,19.358233439259457,1.0848926771166198e-5,0.0010024111105687125
P2RX1,-11.200241994139473,2.503859514319135,19.342985284732098,1.0935882603829004e-5,0.0010058526567658177
MRPS34,7.370098364023287,5.4020130237493955,19.311761484019268,1.1116133038920189e-5,0.0010171948763044326
RP11-89K11.1,-11.193389604826404,2.4984600954282294,19.3009199582607,1.117941489935493e-5,0.0010171948763044326
GALNT9,-8.325676520300224,3.497110757921161,19.295701247290033,1.1210005308420483e-5,0.0010171948763044326
FAM157A,-7.757185235482944,6.277201083325804,19.272083861980626,1.1349497195186312e-5,0.0010218681125466408
ZEB2,-7.352300202847336,4.222983885642709,19.269896081940836,1.136250681111906e-5,0.0010218681125466408
CXCL2,-7.444745505241943,4.092289041041687,19.23524373795223,1.157057518467117e-5,0.0010327659246146927
CHIT1,-10.305655564704336,2.771367491271874,19.232739272561265,1.158576055782235e-5,0.0010327659246146927
IFIT2,-7.251159886767237,5.259547063311555,19.172108899783147,1.1959551736015538e-5,0.001061410216571379
SIRPB1,-9.49860053850236,2.997600315914382,19.106309350909022,1.2378929044341658e-5,0.001093832441974906
RP11-205M20.8,-7.509381353504389,3.97246765214358,19.043109044980955,1.2795640454818144e-5,0.0011257381939271528
RP11-36C20.1,7.409592591322124,5.691329816178349,18.97635371188497,1.3251102399113153e-5,0.001160762151714522
FGF8,-11.138693706711646,2.444458651479056,18.901887129306267,1.3778418102468497e-5,0.0012017512513079742
H3C13,-9.091774807591955,3.100921477460211,18.87897719179469,1.3944850180011965e-5,0.0012110473965345155
DOCK11,-7.421747357758207,3.99667844075887,18.834646791628966,1.427264928794992e-5,0.0012288353604481537
MIR3648-2,-8.100835535831942,8.758131808386425,18.832107142538053,1.4291661284305727e-5,0.0012288353604481537
IL1B,-8.102600819311775,8.802570386703609,18.82674877191256,1.433185792269653e-5,0.0012288353604481537
HERC5,-7.080923749723914,5.076994355852391,18.766932562762452,1.478836191718065e-5,0.001262626596599791
MIR3180-5,-11.113744966827943,2.419888230064624,18.723860694847513,1.5126095549942569e-5,0.0012825133861606277
TENT5C,-7.925518013333321,7.497549644868813,18.721094902603433,1.514804543080751e-5,0.0012825133861606277
SAMSN1,-7.043462958310803,4.551985394084956,18.704652578791727,1.5279197030363064e-5,0.001288227299622486
TRPM6,-10.537553367589995,2.6101168667299195,18.668738798165556,1.556964202717965e-5,0.0013072684913692123
EVI2A,-7.26344367606231,4.070605949858658,18.553259417067093,1.6541679826678343e-5,0.0013831441788960176
H4C6,-11.086477004684845,2.387949048900597,18.501808634812,1.6994174075086845e-5,0.001415132149832849
RPL26L1,7.024973709175009,5.042494320894922,18.49164232965389,1.7085044237538315e-5,0.0014168683202729008
EPSTI1,-6.993667565255309,4.490082182394667,18.475692390130526,1.7228595244293666e-5,0.0014229413255848256
TMEM35B,7.002562261056054,5.069758401357459,18.450052053358405,1.746190453618893e-5,0.001436348123129199
ZBTB9,10.124669413980286,3.018719543783555,18.404496332827897,1.7884286948989737e-5,0.0014651358154364668
PIK3CD,-6.972904395906901,5.060398434410343,18.392116694489157,1.8000831419990496e-5,0.0014667871813432137
SRP72P2,-10.033378322122092,2.710313076177026,18.386979289499703,1.8049419725943176e-5,0.0014667871813432137
RNA5SP392,8.651889238672354,3.357429439355163,18.375013735314127,1.816309837263199e-5,0.0014701211822808332
MYO1F,-7.553031771678641,6.477148853948784,18.357035916034885,1.8335250067621534e-5,0.001472928394068492
BTNL8,-10.20545220388781,2.6540693066740095,18.356192845101575,1.8343363247109462e-5,0.001472928394068492
FZD9,-9.501407958640472,2.862184124411564,18.299880899487892,1.889351948909372e-5,0.0015111081694142744
SPEG,-8.819893061514918,3.1063292685109873,18.255173291073937,1.9342085123163596e-5,0.0015408940648315567
KCNT1,-9.773970752192145,2.7677037922517096,18.244757212419835,1.944812046709605e-5,0.0015432655594183867
WAS,-7.545183061883709,3.7249340015147854,18.137271145058385,2.0577025450967248e-5,0.0016264691796887588
